Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Oscars Won,Number Oscars Won,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Theatrical Distributor,Country
Black Panther,2018-02-16,2018,2,700059566,700059566,Action,Yes,3,25,Won 3 Oscars. Another 109 wins & 265 nominations.,88.0,7.3,97%,PG-13,Ryan Coogler,134 min,Walt Disney,USA
Avengers: Infinity War,2018-04-27,2018,4,678815482,678815482,Action,No,0,25,Nominated for 1 Oscar. Another 46 wins & 73 nominations.,68.0,8.4,85%,PG-13,"Anthony Russo, Joe Russo",149 min,Walt Disney,USA
The Dark Knight,2008-07-18,2008,7,676582901,533720947,Action,Yes,2,25,Won 2 Oscars. Another 153 wins & 159 nominations.,84.0,9.0,94%,PG-13,Christopher Nolan,152 min,Warner Bros.,"USA, UK"
Shrek 2,2004-05-19,2004,5,647273927,441226247,Adventure,No,0,25,Nominated for 2 Oscars. Another 18 wins & 50 nominations.,75.0,7.2,89%,PG,"Andrew Adamson, Kelly Asbury, Conrad Vernon",93 min,Dreamworks SKG,USA
Spider-Man,2002-05-03,2002,5,633006036,403706375,Adventure,No,0,25,Nominated for 2 Oscars. Another 16 wins & 61 nominations.,73.0,7.3,90%,PG-13,Sam Raimi,121 min,Sony Pictures,USA
Independence Day,1996-07-02,1996,7,631041155,306169255,Adventure,Yes,1,24,Won 1 Oscar. Another 34 wins & 35 nominations.,59.0,7.0,66%,PG-13,Roland Emmerich,145 min,20th Century Fox,USA
Star Wars Ep. VIII: The Last Jedi,2017-12-15,2017,12,628253896,620181382,Adventure,No,0,25,Nominated for 4 Oscars. Another 24 wins & 90 nominations.,84.0,7.0,90%,PG-13,Rian Johnson,152 min,Walt Disney,USA
Ghostbusters,1984-06-08,1984,6,622621802,242212467,Comedy,No,0,23,Nominated for 2 Oscars. Another 6 wins & 6 nominations.,71.0,7.8,97%,PG,Ivan Reitman,105 min,Sony Pictures,USA
Beverly Hills Cop,1984-12-05,1984,12,617514964,234760478,Comedy,No,0,23,Nominated for 1 Oscar. Another 4 wins & 4 nominations.,66.0,7.3,82%,R,Martin Brest,105 min,Paramount Pictures,USA
Home Alone,1990-11-16,1990,11,617450073,285761243,Comedy,No,0,23,Nominated for 2 Oscars. Another 11 wins & 4 nominations.,63.0,7.6,65%,PG,Chris Columbus,103 min,20th Century Fox,USA
Incredibles 2,2018-06-15,2018,6,608581744,608581744,Adventure,No,0,25,Nominated for 1 Oscar. Another 12 wins & 73 nominations.,80.0,7.6,94%,PG,Brad Bird,118 min,Walt Disney,USA
Pirates of the Caribbean: Dead Man’…,2006-07-07,2006,7,588764432,423315812,Adventure,Yes,1,25,Won 1 Oscar. Another 43 wins & 53 nominations.,53.0,7.3,53%,PG-13,Gore Verbinski,151 min,Walt Disney,USA
Batman,1989-06-23,1989,6,573516561,251188924,Action,No,0,23,Nominated for 1 Oscar. Another 14 wins & 72 nominations.,70.0,8.2,84%,PG-13,Christopher Nolan,140 min,Warner Bros.,"USA, UK"
The Lord of the Rings: The Return of …,2003-12-17,2003,12,566753142,377845905,Adventure,Yes,11,25,Won 11 Oscars. Another 198 wins & 123 nominations.,94.0,8.9,93%,PG-13,Peter Jackson,201 min,New Line,"New Zealand, USA"
Finding Nemo,2003-05-30,2003,5,559944647,380529370,Adventure,Yes,1,25,Won 1 Oscar. Another 48 wins & 62 nominations.,90.0,8.1,99%,G,"Andrew Stanton, Lee Unkrich(co-director)",100 min,Walt Disney,"USA, Australia"
Rogue One: A Star Wars Story,2016-12-16,2016,12,556450789,532177324,Adventure,No,0,25,Nominated for 2 Oscars. Another 24 wins & 80 nominations.,65.0,7.8,83%,PG-13,Gareth Edwards,133 min,Walt Disney,USA
Spider-Man 2,2004-06-30,2004,6,547956206,373524485,Adventure,Yes,1,25,Won 1 Oscar. Another 24 wins & 60 nominations.,83.0,7.3,93%,PG-13,Sam Raimi,127 min,Sony Pictures,USA
The Passion of the Christ,2004-02-25,2004,2,543911111,370782930,Drama,No,0,25,Nominated for 3 Oscars. Another 29 wins & 21 nominations.,47.0,7.2,49%,R,Mel Gibson,127 min,Newmarket Films,USA
The Lion King,2019-07-19,2019,7,543638047,543638043,Adventure,Yes,2,25,Won 2 Oscars. Another 35 wins & 34 nominations.,88.0,8.5,93%,G,"Roger Allers, Rob Minkoff",88 min,Walt Disney,USA
Star Wars Ep. III: Revenge of the Sith,2005-05-19,2005,5,540446942,380270577,Adventure,No,0,25,Nominated for 1 Oscar. Another 26 wins & 61 nominations.,68.0,7.5,80%,PG-13,George Lucas,140 min,20th Century Fox,USA
The Lord of the Rings: The Two Towers,2002-12-18,2002,12,532244571,342548984,Adventure,Yes,2,25,Won 2 Oscars. Another 123 wins & 137 nominations.,87.0,8.7,95%,PG-13,Peter Jackson,179 min,New Line,New Zealand
Back to the Future,1985-07-03,1985,7,525911691,212259762,Adventure,Yes,1,23,Won 1 Oscar. Another 19 wins & 25 nominations.,87.0,8.5,96%,PG,Robert Zemeckis,116 min,Universal,USA
The Sixth Sense,1999-08-06,1999,8,524581166,293506292,Thriller/Suspense,No,0,23,Nominated for 6 Oscars. Another 36 wins & 49 nominations.,64.0,8.1,86%,PG-13,M. Night Shyamalan,107 min,Walt Disney,USA
Tootsie,1982-12-17,1982,12,520922135,177200000,Comedy,Yes,1,23,Won 1 Oscar. Another 24 wins & 30 nominations.,88.0,7.4,90%,PG,Sydney Pollack,116 min,Sony Pictures,USA
Star Wars: The Rise of Skywalker,2019-12-20,2019,12,515202542,515202542,Adventure,No,0,25,Nominated for 3 Oscars. Another 7 wins & 35 nominations.,53.0,6.7,51%,PG-13,J.J. Abrams,142 min,Walt Disney,USA
The Dark Knight Rises,2012-07-20,2012,7,512882806,448139099,Action,No,0,25,Nominated for 1 BAFTA Film Award. Another 38 wins & 101 nominations.,78.0,8.4,87%,PG-13,Christopher Nolan,164 min,Warner Bros.,"UK, USA"
Finding Dory,2016-06-17,2016,6,512156365,486295561,Adventure,No,0,25,Nominated for 1 BAFTA Film Award. Another 17 wins & 45 nominations.,77.0,7.3,94%,PG,"Andrew Stanton, Angus MacLane(co-director)",97 min,Walt Disney,USA
Beauty and the Beast,2017-03-17,2017,3,511880606,504014165,Musical,Yes,2,25,Won 2 Oscars. Another 26 wins & 33 nominations.,95.0,8.0,94%,G,"Gary Trousdale, Kirk Wise",84 min,Walt Disney,USA
Harry Potter and the Sorcerer’s Stone,2001-11-16,2001,11,510437208,317871467,Adventure,No,0,25,Nominated for 3 Oscars. Another 17 wins & 65 nominations.,64.0,7.6,81%,PG,Chris Columbus,152 min,Warner Bros.,"UK, USA"
The Lord of the Rings: The Fellowship…,2001-12-19,2001,12,502999394,315544750,Adventure,Yes,4,25,Won 4 Oscars. Another 114 wins & 124 nominations.,92.0,8.8,91%,PG-13,Peter Jackson,178 min,New Line,"New Zealand, USA"
Twister,1996-05-10,1996,5,498140539,241688385,Action,No,0,24,Nominated for 2 Oscars. Another 11 wins & 15 nominations.,68.0,6.4,57%,PG-13,Jan de Bont,113 min,Warner Bros.,USA
Men in Black,1997-07-01,1997,7,497556187,250690539,Adventure,Yes,1,24,Won 1 Oscar. Another 21 wins & 39 nominations.,71.0,7.3,92%,PG-13,Barry Sonnenfeld,98 min,Sony Pictures,USA
Avengers: Age of Ultron,2015-05-01,2015,5,496031246,459005868,Action,No,0,25,8 wins & 47 nominations.,66.0,7.3,76%,PG-13,Joss Whedon,141 min,Walt Disney,USA
Transformers: Revenge of the Fallen,2009-06-24,2009,6,488431885,402111870,Action,No,0,25,Nominated for 1 Oscar. Another 15 wins & 27 nominations.,35.0,6.0,20%,PG-13,Michael Bay,149 min,Paramount Pictures,USA
Indiana Jones and the Temple of Doom,1984-05-23,1984,5,487711083,179880271,Adventure,Yes,1,23,Won 1 Oscar. Another 10 wins & 21 nominations.,57.0,7.6,85%,PG,Steven Spielberg,118 min,Paramount Pictures,USA
Star Wars Ep. II: Attack of the Clones,2002-05-16,2002,5,487136844,310676740,Adventure,No,0,25,Nominated for 1 Oscar. Another 19 wins & 63 nominations.,54.0,6.5,65%,PG,George Lucas,142 min,20th Century Fox,USA
Mrs. Doubtfire,1993-11-24,1993,11,485455466,219195051,Comedy,Yes,1,23,Won 1 Oscar. Another 10 wins & 10 nominations.,53.0,7.0,71%,PG-13,Chris Columbus,125 min,20th Century Fox,USA
Toy Story 3,2010-06-18,2010,6,479175469,415004880,Adventure,Yes,2,25,Won 2 Oscars. Another 60 wins & 95 nominations.,92.0,8.3,98%,G,Lee Unkrich,103 min,Walt Disney,USA
Aladdin,1992-11-11,1992,11,477620310,217350219,Adventure,Yes,2,23,Won 2 Oscars. Another 31 wins & 22 nominations.,86.0,8.0,95%,G,"Ron Clements, John Musker",90 min,Walt Disney,USA
Frozen II,2019-11-22,2019,11,477373578,477373578,Adventure,No,0,25,Nominated for 1 Oscar. Another 15 wins & 72 nominations.,64.0,6.9,77%,PG,"Chris Buck, Jennifer Lee",103 min,Walt Disney,USA
The Hunger Games: Catching Fire,2013-11-22,2013,11,475761870,424668047,Adventure,No,0,25,Nominated for 1 Golden Globe. Another 22 wins & 67 nominations.,76.0,7.5,90%,PG-13,Francis Lawrence,146 min,Lionsgate,USA
Ghost,1990-07-13,1990,7,469815445,217631306,Drama,No,0,23,5 wins & 30 nominations.,73.0,7.4,94%,PG-13,Brad Bird,132 min,Paramount Pictures,"USA, United Arab Emirates, Czech Republic, India, Canada"
The Hunger Games,2012-03-23,2012,3,466956955,408010692,Thriller/Suspense,No,0,25,Nominated for 1 Golden Globe. Another 33 wins & 47 nominations.,68.0,7.2,84%,PG-13,Gary Ross,142 min,Lionsgate,USA
Pirates of the Caribbean: The Curse o…,2003-07-09,2003,7,461408382,305410819,Adventure,No,0,25,Nominated for 5 Oscars. Another 38 wins & 99 nominations.,63.0,8.0,79%,PG-13,Gore Verbinski,143 min,Walt Disney,USA
Iron Man 3,2013-05-03,2013,5,458292689,408992272,Action,No,0,25,Nominated for 1 Oscar. Another 20 wins & 62 nominations.,62.0,7.2,79%,PG-13,Shane Black,130 min,Walt Disney,USA
The Lost World: Jurassic Park,1997-05-22,1997,5,454679654,229086679,Action,No,0,24,Nominated for 1 Oscar. Another 4 wins & 27 nominations.,59.0,6.6,51%,PG-13,Steven Spielberg,129 min,Universal,USA
Indiana Jones and the Last Crusade,1989-05-24,1989,5,450184242,197171806,Adventure,Yes,1,23,Won 1 Oscar. Another 7 wins & 22 nominations.,65.0,8.2,87%,PG-13,Steven Spielberg,127 min,Paramount Pictures,USA
"Monsters, Inc.",2001-11-02,2001,11,449635428,289423425,Adventure,Yes,1,25,Won 1 Oscar. Another 14 wins & 38 nominations.,79.0,8.0,96%,G,"Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)",92 min,Walt Disney,USA
Frozen,2013-11-22,2013,11,448472628,400738009,Musical,Yes,2,25,Won 2 Oscars. Another 79 wins & 59 nominations.,75.0,7.4,90%,PG,"Chris Buck, Jennifer Lee",102 min,Walt Disney,USA
Spider-Man 3,2007-05-04,2007,5,445609164,336530303,Adventure,No,0,25,Nominated for 1 BAFTA Film Award. Another 3 wins & 32 nominations.,59.0,6.2,63%,PG-13,Sam Raimi,139 min,Sony Pictures,USA
How the Grinch Stole Christmas,2000-11-17,2000,11,438980791,260044825,Adventure,Yes,1,24,Won 1 Oscar. Another 17 wins & 37 nominations.,46.0,6.2,50%,PG,Ron Howard,104 min,Universal,"USA, Germany"
Terminator 2: Judgment Day,1991-07-02,1991,7,438431632,203464105,Action,Yes,4,23,Won 4 Oscars. Another 32 wins & 33 nominations.,75.0,8.5,93%,R,James Cameron,137 min,Sony Pictures,"USA, France"
Harry Potter and the Deathly Hallows:…,2011-07-15,2011,7,437706448,381193157,Adventure,No,0,25,Nominated for 3 Oscars. Another 45 wins & 91 nominations.,85.0,8.1,96%,PG-13,David Yates,130 min,Warner Bros.,"UK, USA"
Toy Story 2,1999-11-19,1999,11,437075134,245852179,Adventure,No,0,23,Nominated for 1 Oscar. Another 21 wins & 26 nominations.,88.0,7.9,100%,G,"John Lasseter, Ash Brannon(co-director), Lee Unkrich(co-director)",92 min,Walt Disney,USA
Toy Story 4,2019-06-21,2019,6,434038008,434038008,Adventure,Yes,1,25,Won 1 Oscar. Another 49 wins & 53 nominations.,84.0,7.8,97%,G,Josh Cooley,100 min,Walt Disney,USA
Top Gun,1986-05-16,1986,5,433527354,179800601,Action,Yes,1,23,Won 1 Oscar. Another 10 wins & 5 nominations.,50.0,6.9,54%,PG,Tony Scott,110 min,Paramount Pictures,USA
Shrek,2001-05-18,2001,5,430801615,267655011,Adventure,Yes,1,25,Won 1 Oscar. Another 38 wins & 60 nominations.,84.0,7.8,88%,PG,"Andrew Adamson, Vicky Jenson",90 min,Dreamworks SKG,USA
Captain America: Civil War,2016-05-06,2016,5,429785941,408084349,Action,No,0,25,16 wins & 68 nominations.,75.0,7.8,91%,PG-13,"Anthony Russo, Joe Russo",147 min,Walt Disney,USA
Shrek the Third,2007-05-17,2007,5,427322478,322719944,Adventure,No,0,25,Nominated for 1 BAFTA Film Award. Another 5 wins & 16 nominations.,58.0,6.1,41%,PG,"Chris Miller, Raman Hui(co-director)",93 min,Paramount Pictures,USA
Captain Marvel,2019-03-08,2019,3,426829839,426829839,Action,No,0,25,7 wins & 46 nominations.,64.0,6.9,78%,PG-13,"Anna Boden, Ryan Fleck",123 min,Walt Disney,"USA, Australia"
The Matrix Reloaded,2003-05-15,2003,5,425365523,281553689,Action,No,0,25,8 wins & 34 nominations.,62.0,7.2,73%,R,"Lana Wachowski, Lilly Wachowski",138 min,Warner Bros.,USA
Crocodile Dundee,1986-09-26,1986,9,423555448,174803506,Comedy,No,0,23,Nominated for 1 Oscar. Another 3 wins & 7 nominations.,62.0,6.6,87%,PG-13,Peter Faiman,97 min,Paramount Pictures,Australia
Transformers,2007-07-02,2007,7,422722785,319246193,Action,No,0,25,Nominated for 3 Oscars. Another 20 wins & 41 nominations.,61.0,7.0,58%,PG-13,Michael Bay,144 min,Paramount Pictures,USA
Wonder Woman,2017-06-02,2017,6,419002525,412563408,Action,No,0,25,24 wins & 70 nominations.,76.0,7.4,93%,PG-13,Patty Jenkins,141 min,Warner Bros.,"USA, China, Hong Kong"
Jurassic World: Fallen Kingdom,2018-06-22,2018,6,417719764,417719760,Action,No,0,25,4 wins & 25 nominations.,51.0,6.2,47%,PG-13,J.A. Bayona,128 min,Universal,USA
Saving Private Ryan,1998-07-24,1998,7,416376522,216335085,Drama,Yes,5,24,Won 5 Oscars. Another 74 wins & 74 nominations.,91.0,8.6,93%,R,Steven Spielberg,169 min,Dreamworks SKG,USA
Despicable Me 2,2013-07-03,2013,7,412431819,368065385,Adventure,No,0,25,Nominated for 2 Oscars. Another 12 wins & 65 nominations.,62.0,7.3,75%,PG,"Pierre Coffin, Chris Renaud",98 min,Universal,"USA, France, Japan"
"The Chronicles of Narnia: The Lion, t…",2005-12-09,2005,12,412335608,291710957,Adventure,Yes,1,25,Won 1 Oscar. Another 17 wins & 46 nominations.,75.0,6.9,76%,PG,Andrew Adamson,143 min,Walt Disney,"UK, USA"
Harry Potter and the Goblet of Fire,2005-11-18,2005,11,411719381,290201752,Adventure,No,0,25,Nominated for 1 Oscar. Another 13 wins & 42 nominations.,81.0,7.7,88%,PG-13,Mike Newell,157 min,Warner Bros.,"UK, USA"
Harry Potter and the Chamber of Secrets,2002-11-15,2002,11,410227600,262233381,Adventure,No,0,25,Nominated for 3 BAFTA Film Awards. Another 13 wins & 43 nominations.,63.0,7.4,83%,PG,Chris Columbus,161 min,Warner Bros.,"UK, USA, Germany"
Pirates of the Caribbean: At World’…,2007-05-24,2007,5,409712211,309420425,Adventure,No,0,25,Nominated for 2 Oscars. Another 20 wins & 44 nominations.,50.0,7.1,44%,PG-13,Gore Verbinski,169 min,Walt Disney,USA
Jumanji: Welcome to the Jungle,2017-12-20,2017,12,407146634,404508916,Adventure,No,0,25,5 wins & 14 nominations.,58.0,6.9,76%,PG-13,Jake Kasdan,119 min,Sony Pictures,"USA, India, Canada, UK, Australia, Germany"
Transformers: Dark of the Moon,2011-06-29,2011,6,404826964,352390543,Action,No,0,25,Nominated for 3 Oscars. Another 10 wins & 39 nominations.,42.0,6.2,35%,PG-13,Michael Bay,154 min,Paramount Pictures,USA
The Fugitive,1993-08-06,1993,8,404615494,183875760,Thriller/Suspense,Yes,1,23,Won 1 Oscar. Another 12 wins & 37 nominations.,87.0,7.8,96%,PG-13,Andrew Davis,130 min,Warner Bros.,USA
Iron Man,2008-05-02,2008,5,404223700,318604126,Adventure,No,0,25,Nominated for 2 Oscars. Another 21 wins & 65 nominations.,79.0,7.9,94%,PG-13,Jon Favreau,126 min,Paramount Pictures,"USA, Canada"
Meet the Fockers,2004-12-22,2004,12,404193819,279167575,Comedy,No,0,25,2 wins & 7 nominations.,41.0,6.3,39%,PG-13,Jay Roach,115 min,Universal,USA
Indiana Jones and the Kingdom of the …,2008-05-22,2008,5,402338604,317101119,Adventure,No,0,25,Nominated for 1 BAFTA Film Award. Another 10 wins & 41 nominations.,65.0,6.1,78%,PG-13,Steven Spielberg,122 min,Paramount Pictures,USA
Gremlins,1984-06-08,1984,6,401730548,148168459,Comedy,No,0,23,8 wins & 6 nominations.,70.0,7.3,84%,PG,Joe Dante,106 min,Warner Bros.,USA
Toy Story,1995-11-22,1995,11,400288462,191796233,Adventure,No,0,24,Nominated for 3 Oscars. Another 27 wins & 20 nominations.,95.0,8.3,100%,G,John Lasseter,81 min,Walt Disney,USA
An Officer and a Gentleman,1982-07-28,1982,7,398494366,129795554,Drama,Yes,2,23,Won 2 Oscars. Another 7 wins & 13 nominations.,75.0,7.0,79%,R,Taylor Hackford,124 min,Paramount Pictures,USA
Dances with Wolves,1990-11-09,1990,11,398197626,184208842,Western,Yes,7,23,Won 7 Oscars. Another 44 wins & 37 nominations.,72.0,8.0,83%,PG-13,Kevin Costner,181 min,Orion Pictures,"USA, UK"
Guardians of the Galaxy Vol 2,2017-05-05,2017,5,395897133,389813101,Action,No,0,25,Nominated for 1 Oscar. Another 15 wins & 56 nominations.,67.0,7.6,85%,PG-13,James Gunn,136 min,Walt Disney,USA
Armageddon,1998-07-01,1998,7,391551644,201578182,Adventure,No,0,24,Nominated for 4 Oscars. Another 15 wins & 36 nominations.,42.0,6.7,38%,PG-13,Michael Bay,151 min,Walt Disney,USA
Rain Man,1988-12-16,1988,12,391451526,172825435,Comedy,Yes,4,23,Won 4 Oscars. Another 22 wins & 22 nominations.,65.0,8.0,89%,R,Barry Levinson,133 min,MGM,USA
Spider-Man: Far From Home,2019-07-02,2019,7,390532085,390532085,Action,No,0,25,9 wins & 21 nominations.,69.0,7.5,90%,PG-13,Jon Watts,129 min,Sony Pictures,USA
The Secret Life of Pets,2016-07-08,2016,7,387974703,368384330,Adventure,No,0,25,4 wins & 15 nominations.,61.0,6.5,73%,PG,"Chris Renaud, Yarrow Cheney(co-director)",87 min,Universal,"USA, France, Japan"
Beauty and the Beast,1991-11-13,1991,11,387837197,206333165,Musical,Yes,2,23,Won 2 Oscars. Another 26 wins & 33 nominations.,95.0,8.0,94%,G,"Gary Trousdale, Kirk Wise",84 min,Walt Disney,USA
Rocky III,1982-05-28,1982,5,387482144,125049125,Action,No,0,23,Nominated for 1 Oscar. Another 2 wins & 7 nominations.,57.0,6.8,64%,PG,Sylvester Stallone,99 min,MGM,"USA, Canada"
Harry Potter and the Order of the Pho…,2007-07-11,2007,7,386651621,292137260,Adventure,No,0,25,Nominated for 2 BAFTA Film Awards. Another 14 wins & 40 nominations.,71.0,7.5,78%,PG-13,David Yates,138 min,Warner Bros.,"UK, USA"
Rambo: First Blood Part II,1985-05-22,1985,5,385995656,150415432,Action,No,0,23,Nominated for 1 Oscar. Another 5 wins & 4 nominations.,47.0,6.5,36%,R,George P. Cosmatos,96 min,Sony/TriStar,"USA, Mexico"
Alice in Wonderland,2010-03-05,2010,3,385865775,334191110,Adventure,Yes,2,25,Won 2 Oscars. Another 33 wins & 63 nominations.,53.0,6.4,51%,PG,Tim Burton,108 min,Walt Disney,"USA, UK"
Batman Forever,1995-06-16,1995,6,385407678,184031112,Action,No,0,24,Nominated for 3 Oscars. Another 10 wins & 22 nominations.,51.0,5.4,39%,PG-13,Joel Schumacher,121 min,Warner Bros.,"USA, UK"
Inside Out,2015-06-19,2015,6,385215439,356461711,Adventure,Yes,1,25,Won 1 Oscar. Another 97 wins & 114 nominations.,94.0,8.1,98%,PG,"Pete Docter, Ronnie Del Carmen(co-director)",95 min,Walt Disney,USA
Pretty Woman,1990-03-23,1990,3,385137694,178406268,Romantic Comedy,No,0,23,Nominated for 1 Oscar. Another 8 wins & 10 nominations.,51.0,7.0,63%,R,Garry Marshall,119 min,Walt Disney,USA
Cast Away,2000-12-22,2000,12,384884272,233632142,Drama,No,0,24,Nominated for 2 Oscars. Another 15 wins & 35 nominations.,73.0,7.8,88%,PG-13,Robert Zemeckis,143 min,20th Century Fox,USA
The Jungle Book,2016-04-15,2016,4,383358402,364001123,Adventure,Yes,1,25,Won 1 Oscar. Another 32 wins & 55 nominations.,77.0,7.4,94%,PG,Jon Favreau,106 min,Walt Disney,"UK, USA"
The Incredibles,2004-11-05,2004,11,383083289,261441092,Adventure,Yes,2,25,Won 2 Oscars. Another 65 wins & 56 nominations.,90.0,8.0,90/100,PG,Brad Bird,115 min,Walt Disney,USA
Deadpool,2016-02-12,2016,2,382378512,363070709,Action,No,0,25,Nominated for 2 Golden Globes. Another 28 wins & 75 nominations.,65.0,8.0,85%,R,Tim Miller,108 min,20th Century Fox,USA
3 Men and a Baby,1987-11-25,1987,11,381836094,167780960,Comedy,No,0,23,2 wins & 1 nomination.,61.0,6.0,75%,PG,Leonard Nimoy,102 min,Walt Disney,"USA, France"
Furious 7,2015-04-03,2015,4,381482079,353007020,Action,No,0,25,Nominated for 1 Golden Globe. Another 33 wins & 34 nominations.,67.0,7.1,82%,PG-13,James Wan,137 min,Universal,"USA, China, Japan, Canada, United Arab Emirates"
Home Alone 2: Lost in New York,1992-11-20,1992,11,381180073,173585516,Adventure,No,0,23,3 wins & 3 nominations.,,6.8,33%,PG,Chris Columbus,120 min,20th Century Fox,USA
American Sniper,2014-12-25,2014,12,378445725,350126372,Drama,Yes,1,25,Won 1 Oscar. Another 23 wins & 43 nominations.,72.0,7.3,72%,R,Clint Eastwood,133 min,Warner Bros.,USA
My Big Fat Greek Wedding,2002-04-19,2002,4,377797221,241438208,Romantic Comedy,No,0,25,Nominated for 1 Oscar. Another 20 wins & 28 nominations.,62.0,6.5,76%,PG,Joel Zwick,95 min,IFC Films,"Canada, USA"
The Hunger Games: Mockingjay - Part 1,2014-11-21,2014,11,375464195,337135885,Thriller/Suspense,No,0,25,Nominated for 1 Golden Globe. Another 21 wins & 31 nominations.,64.0,6.6,69%,PG-13,Francis Lawrence,123 min,Lionsgate,"USA, Canada, France"
Mission: Impossible,1996-05-21,1996,5,373019226,180981886,Action,No,0,24,5 wins & 30 nominations.,73.0,7.4,94%,PG-13,Brad Bird,132 min,Paramount Pictures,"USA, United Arab Emirates, Czech Republic, India, Canada"
Guardians of the Galaxy,2014-08-01,2014,8,371501227,333172112,Action,No,0,25,Nominated for 2 Oscars. Another 52 wins & 100 nominations.,76.0,8.0,91%,PG-13,James Gunn,121 min,Walt Disney,USA
On Golden Pond,1981-12-04,1981,12,369871147,119285432,Drama,Yes,3,23,Won 3 Oscars. Another 11 wins & 23 nominations.,68.0,7.6,93%,PG,Mark Rydell,109 min,Universal,"UK, USA"
Austin Powers: The Spy Who Shagged Me,1999-06-10,1999,6,369493137,206040085,Comedy,No,0,23,Nominated for 1 Oscar. Another 18 wins & 30 nominations.,59.0,6.6,52%,PG-13,Jay Roach,95 min,New Line,USA
Harry Potter and the Half-Blood Prince,2009-07-15,2009,7,366779769,302089278,Adventure,No,0,25,Nominated for 1 Oscar. Another 8 wins & 35 nominations.,78.0,7.6,83%,PG,David Yates,153 min,Warner Bros.,"UK, USA"
Bruce Almighty,2003-05-23,2003,5,366673710,242704995,Comedy,No,0,25,7 wins & 9 nominations.,46.0,6.8,48%,PG-13,Tom Shadyac,101 min,Universal,USA
